SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2020,1610612742,DAL,Dallas Mavericks,22000932,2021-04-27,DAL @ GSW,W,28,39,15,23,0.652,4,10,0.4,5,5,1.0,2,4,6,8,2,0,7,3,5.8,False
2020,1610612742,DAL,Dallas Mavericks,22000926,2021-04-26,DAL @ SAC,L,38,24,8,20,0.4,4,12,0.333,4,6,0.667,0,8,8,8,0,0,4,2,-3.8,False
2020,1610612742,DAL,Dallas Mavericks,22000908,2021-04-24,DAL vs. LAL,W,39,18,6,15,0.4,2,6,0.333,4,5,0.8,0,8,8,13,0,0,6,1,5.2,True
2020,1610612742,DAL,Dallas Mavericks,22000897,2021-04-22,DAL vs. LAL,W,36,30,9,21,0.429,3,9,0.333,9,11,0.818,1,8,9,8,3,0,5,5,-0.8,True
2020,1610612742,DAL,Dallas Mavericks,22000442,2021-04-21,DAL vs. DET,W,33,30,10,22,0.455,4,11,0.364,6,10,0.6,2,8,10,9,2,0,3,2,2.0,True
2020,1610612742,DAL,Dallas Mavericks,22000866,2021-04-18,DAL vs. SAC,L,36,37,14,27,0.519,4,13,0.308,5,10,0.5,2,6,8,4,1,3,4,5,-4.0,True
2020,1610612742,DAL,Dallas Mavericks,22000854,2021-04-16,DAL vs. NYK,L,38,22,7,16,0.438,2,9,0.222,6,10,0.6,0,8,8,19,0,1,3,3,1.0,True
2020,1610612742,DAL,Dallas Mavericks,22000837,2021-04-14,DAL @ MEM,W,34,29,10,20,0.5,3,10,0.3,6,9,0.667,0,5,5,9,2,1,3,4,-0.8,False
2020,1610612742,DAL,Dallas Mavericks,22000818,2021-04-12,DAL vs. PHI,L,33,32,10,20,0.5,2,7,0.286,10,11,0.909,2,2,4,4,1,1,4,0,-3.4,True
2020,1610612742,DAL,Dallas Mavericks,22000810,2021-04-11,DAL vs. SAS,L,35,29,10,17,0.588,2,8,0.25,7,8,0.875,0,3,3,7,1,0,5,2,-1.2,True
2020,1610612742,DAL,Dallas Mavericks,22000786,2021-04-08,DAL vs. MIL,W,37,27,11,20,0.55,3,8,0.375,2,5,0.4,0,9,9,9,0,1,4,3,3.8,True
2020,1610612742,DAL,Dallas Mavericks,22000456,2021-04-07,DAL @ HOU,L,37,23,9,26,0.346,1,9,0.111,4,5,0.8,2,7,9,5,1,1,5,5,-1.4,False
2020,1610612742,DAL,Dallas Mavericks,22000764,2021-04-05,DAL vs. UTA,W,36,31,11,26,0.423,6,11,0.545,3,3,1.0,2,7,9,8,0,0,4,2,0.8,True
2020,1610612742,DAL,Dallas Mavericks,22000747,2021-04-03,DAL @ WAS,W,32,26,12,24,0.5,1,8,0.125,1,4,0.25,1,7,8,6,1,1,4,3,2.8,False
2020,1610612742,DAL,Dallas Mavericks,22000739,2021-04-02,DAL @ NYK,W,35,26,11,23,0.478,3,8,0.375,1,4,0.25,0,8,8,7,1,0,5,2,-1.4,False
2020,1610612742,DAL,Dallas Mavericks,22000723,2021-03-31,DAL @ BOS,W,35,36,11,15,0.733,7,11,0.636,7,11,0.636,0,8,8,5,0,0,8,3,-0.4,False
2020,1610612742,DAL,Dallas Mavericks,22000713,2021-03-29,DAL @ OKC,W,28,25,9,17,0.529,4,10,0.4,3,4,0.75,0,3,3,7,2,0,3,3,1.2,False
2020,1610612742,DAL,Dallas Mavericks,22000673,2021-03-24,DAL @ MIN,W,27,15,6,16,0.375,2,9,0.222,1,2,0.5,0,4,4,4,1,1,4,1,1.4,False
2020,1610612742,DAL,Dallas Mavericks,22000652,2021-03-21,DAL @ POR,W,30,37,13,19,0.684,8,9,0.889,3,6,0.5,2,5,7,4,0,0,5,2,4.8,False
2020,1610612742,DAL,Dallas Mavericks,22000639,2021-03-19,DAL @ POR,L,39,38,15,27,0.556,4,13,0.308,4,5,0.8,0,9,9,9,1,0,4,1,-0.6,False
2020,1610612742,DAL,Dallas Mavericks,22000625,2021-03-17,DAL vs. LAC,W,43,42,16,28,0.571,6,11,0.545,4,5,0.8,1,5,6,9,3,2,4,2,5.8,True
2020,1610612742,DAL,Dallas Mavericks,22000605,2021-03-15,DAL vs. LAC,L,38,25,9,23,0.391,4,11,0.364,3,4,0.75,0,10,10,16,2,0,7,5,-0.4,True
2020,1610612742,DAL,Dallas Mavericks,22000592,2021-03-13,DAL @ DEN,W,33,21,7,16,0.438,3,10,0.3,4,6,0.667,0,5,5,12,0,0,3,3,1.8,False
2020,1610612742,DAL,Dallas Mavericks,22000567,2021-03-10,DAL vs. SAS,W,39,22,9,20,0.45,2,10,0.2,2,3,0.667,1,11,12,12,0,0,6,4,3.6,True
2020,1610612742,DAL,Dallas Mavericks,22000529,2021-03-01,DAL @ ORL,W,37,33,12,22,0.545,5,10,0.5,4,6,0.667,1,9,10,9,0,0,4,0,1.0,False
2020,1610612742,DAL,Dallas Mavericks,22000519,2021-02-27,DAL @ BKN,W,34,27,11,21,0.524,3,10,0.3,2,6,0.333,0,6,6,7,2,0,1,2,4.2,False
2020,1610612742,DAL,Dallas Mavericks,22000498,2021-02-25,DAL @ PHI,L,29,19,6,13,0.462,3,6,0.5,4,6,0.667,0,3,3,4,0,3,7,2,-4.0,False
2020,1610612742,DAL,Dallas Mavericks,22000485,2021-02-23,DAL vs. BOS,W,38,31,11,23,0.478,6,8,0.75,3,4,0.75,2,8,10,8,1,0,3,0,1.0,True
2020,1610612742,DAL,Dallas Mavericks,22000476,2021-02-22,DAL vs. MEM,W,33,21,8,18,0.444,3,10,0.3,2,9,0.222,0,7,7,5,2,1,4,1,1.0,True
2020,1610612742,DAL,Dallas Mavericks,22000411,2021-02-14,DAL vs. POR,L,36,44,14,20,0.7,5,8,0.625,11,12,0.917,1,6,7,9,0,0,5,4,-2.0,True
2020,1610612742,DAL,Dallas Mavericks,22000399,2021-02-12,DAL vs. NOP,W,40,46,17,30,0.567,5,8,0.625,7,9,0.778,1,7,8,12,1,1,3,4,2.6,True
2020,1610612742,DAL,Dallas Mavericks,22000384,2021-02-10,DAL vs. ATL,W,37,28,9,18,0.5,2,7,0.286,8,10,0.8,0,10,10,10,1,2,5,4,1.8,True
2020,1610612742,DAL,Dallas Mavericks,22000370,2021-02-08,DAL vs. MIN,W,37,26,9,22,0.409,1,7,0.143,7,9,0.778,0,8,8,5,1,0,7,4,0.8,True
2020,1610612742,DAL,Dallas Mavericks,22000360,2021-02-06,DAL vs. GSW,W,38,42,12,23,0.522,7,12,0.583,11,14,0.786,1,6,7,11,1,0,7,3,3.6,True
2020,1610612742,DAL,Dallas Mavericks,22000339,2021-02-04,DAL vs. GSW,L,32,27,8,20,0.4,3,7,0.429,8,9,0.889,2,4,6,6,1,0,5,3,-5.6,True
2020,1610612742,DAL,Dallas Mavericks,22000330,2021-02-03,DAL @ ATL,W,38,27,8,20,0.4,1,5,0.2,10,10,1.0,1,7,8,14,2,1,4,1,0.6,False
2020,1610612742,DAL,Dallas Mavericks,22000319,2021-02-01,DAL vs. PHX,L,38,25,7,19,0.368,1,4,0.25,10,11,0.909,0,5,5,8,1,2,4,2,1.6,True
2020,1610612742,DAL,Dallas Mavericks,22000303,2021-01-30,DAL vs. PHX,L,33,29,12,22,0.545,3,7,0.429,2,4,0.5,0,8,8,7,0,0,4,3,0.4,True
2020,1610612742,DAL,Dallas Mavericks,22000297,2021-01-29,DAL @ UTA,L,32,25,8,17,0.471,2,6,0.333,7,10,0.7,0,6,6,7,1,0,2,2,-5.4,False
2020,1610612742,DAL,Dallas Mavericks,22000282,2021-01-27,DAL @ UTA,L,34,30,13,24,0.542,2,7,0.286,2,2,1.0,0,4,4,6,1,0,4,1,-1.4,False
2020,1610612742,DAL,Dallas Mavericks,22000265,2021-01-25,DAL vs. DEN,L,39,35,11,23,0.478,3,8,0.375,10,10,1.0,2,9,11,16,4,1,5,3,1.6,True
2020,1610612742,DAL,Dallas Mavericks,22000247,2021-01-23,DAL vs. HOU,L,29,26,9,18,0.5,1,6,0.167,7,12,0.583,0,5,5,8,0,1,3,0,-3.0,True
2020,1610612742,DAL,Dallas Mavericks,22000237,2021-01-22,DAL @ SAS,W,36,36,13,28,0.464,4,12,0.333,6,6,1.0,0,9,9,11,0,0,2,5,-1.2,False
2020,1610612742,DAL,Dallas Mavericks,22000217,2021-01-20,DAL @ IND,W,38,13,5,15,0.333,0,3,0.0,3,4,0.75,0,12,12,12,0,1,3,0,2.2,False
2020,1610612742,DAL,Dallas Mavericks,22000210,2021-01-18,DAL @ TOR,L,35,15,4,11,0.364,0,3,0.0,7,8,0.875,2,5,7,9,0,0,3,0,-2.0,False
2020,1610612742,DAL,Dallas Mavericks,22000198,2021-01-17,DAL vs. CHI,L,38,36,13,30,0.433,6,11,0.545,4,6,0.667,6,10,16,15,2,0,5,2,-1.4,True
2020,1610612742,DAL,Dallas Mavericks,22000182,2021-01-15,DAL @ MIL,L,36,28,12,24,0.5,1,7,0.143,3,7,0.429,0,10,10,13,0,0,3,4,-0.4,False
2020,1610612742,DAL,Dallas Mavericks,22000164,2021-01-13,DAL @ CHA,W,35,34,14,25,0.56,5,9,0.556,1,2,0.5,2,11,13,9,2,4,4,3,2.8,False
2020,1610612742,DAL,Dallas Mavericks,22000139,2021-01-09,DAL vs. ORL,W,35,20,7,20,0.35,3,9,0.333,3,3,1.0,1,9,10,10,1,2,6,1,0.0,True
2020,1610612742,DAL,Dallas Mavericks,22000120,2021-01-07,DAL @ DEN,W,43,38,13,22,0.591,2,7,0.286,10,15,0.667,0,9,9,13,5,1,8,0,2.8,False
2020,1610612742,DAL,Dallas Mavericks,22000098,2021-01-04,DAL @ HOU,W,38,33,12,25,0.48,3,10,0.3,6,6,1.0,2,14,16,11,0,0,8,3,5.6,False
2020,1610612742,DAL,Dallas Mavericks,22000071,2021-01-01,DAL vs. MIA,W,36,27,9,22,0.409,3,10,0.3,6,9,0.667,1,14,15,7,0,1,5,2,2.4,True
2020,1610612742,DAL,Dallas Mavericks,22000059,2020-12-30,DAL vs. CHA,L,24,12,4,10,0.4,0,5,0.0,4,7,0.571,0,2,2,5,2,0,3,3,-5.4,True
2020,1610612742,DAL,Dallas Mavericks,22000031,2020-12-27,DAL @ LAC,W,26,24,8,18,0.444,0,5,0.0,8,9,0.889,0,9,9,8,1,0,2,0,5.8,False
2020,1610612742,DAL,Dallas Mavericks,22000008,2020-12-25,DAL @ LAL,L,34,27,9,19,0.474,2,5,0.4,7,8,0.875,0,4,4,7,0,1,3,0,-2.8,False
2020,1610612742,DAL,Dallas Mavericks,22000004,2020-12-23,DAL @ PHX,L,36,32,11,26,0.423,0,6,0.0,10,12,0.833,2,6,8,5,0,0,1,2,-1.8,False
2019,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13,DAL @ PHX,L,13,18,5,9,0.556,1,2,0.5,7,7,1.0,1,4,5,0,1,0,1,2,-0.8,False
2019,1610612742,DAL,Dallas Mavericks,21901300,2020-08-11,DAL vs. POR,L,35,25,8,19,0.421,2,8,0.25,7,9,0.778,1,7,8,10,0,1,6,1,-0.6,True
2019,1610612742,DAL,Dallas Mavericks,21901284,2020-08-08,DAL vs. MIL,W,42,36,12,24,0.5,3,9,0.333,9,10,0.9,1,13,14,19,1,0,2,1,2.4,True
2019,1610612742,DAL,Dallas Mavericks,21901271,2020-08-06,DAL vs. LAC,L,35,29,10,21,0.476,6,13,0.462,3,6,0.5,0,3,3,6,0,0,4,2,-4.2,True
2019,1610612742,DAL,Dallas Mavericks,21901257,2020-08-04,DAL @ SAC,W,44,34,12,24,0.5,2,6,0.333,8,11,0.727,4,16,20,12,0,2,6,3,0.6,False
2019,1610612742,DAL,Dallas Mavericks,21901249,2020-08-02,DAL @ PHX,L,38,40,11,20,0.55,0,3,0.0,18,19,0.947,0,8,8,11,0,0,6,4,0.6,False
2019,1610612742,DAL,Dallas Mavericks,21901238,2020-07-31,DAL vs. HOU,L,42,28,11,27,0.407,1,9,0.111,5,9,0.556,2,11,13,10,1,1,8,6,0.0,True
2019,1610612742,DAL,Dallas Mavericks,21900973,2020-03-11,DAL vs. DEN,W,40,28,10,22,0.455,2,8,0.25,6,11,0.545,1,5,6,9,2,0,2,2,0.6,True
2019,1610612742,DAL,Dallas Mavericks,21900965,2020-03-10,DAL @ SAS,L,36,38,13,26,0.5,6,13,0.462,6,7,0.857,1,6,7,8,2,0,5,3,-1.8,False
2019,1610612742,DAL,Dallas Mavericks,21900952,2020-03-08,DAL vs. IND,L,36,36,13,26,0.5,4,13,0.308,6,10,0.6,1,9,10,8,2,0,3,3,0.4,True
2019,1610612742,DAL,Dallas Mavericks,21900937,2020-03-06,DAL vs. MEM,W,30,21,7,20,0.35,2,8,0.25,5,8,0.625,0,4,4,6,2,0,1,1,-1.2,True
2019,1610612742,DAL,Dallas Mavericks,21900923,2020-03-04,DAL vs. NOP,W,41,30,9,20,0.45,4,11,0.364,8,13,0.615,1,16,17,10,1,1,7,2,-1.0,True
2019,1610612742,DAL,Dallas Mavericks,21900907,2020-03-02,DAL @ CHI,L,38,23,8,20,0.4,1,8,0.125,6,9,0.667,0,5,5,9,1,0,4,3,2.0,False
2019,1610612742,DAL,Dallas Mavericks,21900880,2020-02-28,DAL @ MIA,L,38,23,7,17,0.412,0,6,0.0,9,9,1.0,0,4,4,10,0,0,6,4,1.2,False
2019,1610612742,DAL,Dallas Mavericks,21900869,2020-02-26,DAL @ SAS,W,37,26,10,25,0.4,3,11,0.273,3,4,0.75,1,9,10,14,1,0,7,5,2.8,False
2019,1610612742,DAL,Dallas Mavericks,21900854,2020-02-24,DAL vs. MIN,W,25,20,7,16,0.438,1,6,0.167,5,8,0.625,2,7,9,7,2,1,3,3,0.2,True
2019,1610612742,DAL,Dallas Mavericks,21900826,2020-02-21,DAL @ ORL,W,34,33,10,21,0.476,4,8,0.5,9,12,0.75,0,10,10,8,1,1,6,0,2.6,False
2019,1610612742,DAL,Dallas Mavericks,21900814,2020-02-12,DAL vs. SAC,W,31,33,10,18,0.556,3,7,0.429,10,12,0.833,1,11,12,8,0,0,4,3,6.0,True
2019,1610612742,DAL,Dallas Mavericks,21900706,2020-01-28,DAL vs. PHX,L,25,21,7,15,0.467,1,4,0.25,6,7,0.857,1,5,6,2,1,0,4,2,-5.2,True
2019,1610612742,DAL,Dallas Mavericks,21900697,2020-01-27,DAL @ OKC,W,33,29,10,24,0.417,5,12,0.417,4,7,0.571,2,9,11,5,0,0,0,2,0.0,False
2019,1610612742,DAL,Dallas Mavericks,21900680,2020-01-25,DAL @ UTA,L,36,25,11,25,0.44,2,10,0.2,1,5,0.2,0,6,6,7,2,0,4,2,0.0,False
2019,1610612742,DAL,Dallas Mavericks,21900668,2020-01-23,DAL @ POR,W,35,27,11,25,0.44,2,11,0.182,3,6,0.5,1,5,6,9,2,0,3,4,0.2,False
2019,1610612742,DAL,Dallas Mavericks,21900653,2020-01-21,DAL vs. LAC,L,35,36,12,26,0.462,3,12,0.25,9,14,0.643,2,8,10,9,0,2,4,3,-1.2,True
2019,1610612742,DAL,Dallas Mavericks,21900625,2020-01-17,DAL vs. POR,W,34,35,11,23,0.478,8,12,0.667,5,8,0.625,2,6,8,7,1,0,3,2,1.2,True
2019,1610612742,DAL,Dallas Mavericks,21900612,2020-01-15,DAL @ SAC,W,34,25,8,18,0.444,0,5,0.0,9,10,0.9,0,15,15,17,0,0,6,3,1.8,False
2019,1610612742,DAL,Dallas Mavericks,21900602,2020-01-14,DAL @ GSW,W,27,20,8,19,0.421,2,9,0.222,2,8,0.25,1,7,8,2,1,0,3,3,2.6,False
2019,1610612742,DAL,Dallas Mavericks,21900581,2020-01-11,DAL vs. PHI,W,33,19,4,15,0.267,1,3,0.333,10,12,0.833,1,7,8,12,0,0,5,3,3.6,True
2019,1610612742,DAL,Dallas Mavericks,21900572,2020-01-10,DAL vs. LAL,L,32,25,8,19,0.421,1,5,0.2,8,13,0.615,2,8,10,7,0,0,6,3,-2.6,True
2019,1610612742,DAL,Dallas Mavericks,21900559,2020-01-08,DAL vs. DEN,L,37,27,11,24,0.458,1,7,0.143,4,6,0.667,2,7,9,10,0,0,6,2,1.4,True
2019,1610612742,DAL,Dallas Mavericks,21900545,2020-01-06,DAL vs. CHI,W,34,38,14,24,0.583,5,10,0.5,5,9,0.556,1,10,11,10,0,1,3,2,1.6,True
2019,1610612742,DAL,Dallas Mavericks,21900530,2020-01-04,DAL vs. CHA,L,43,39,14,32,0.438,5,15,0.333,6,6,1.0,2,10,12,10,2,0,5,4,-1.0,True
2019,1610612742,DAL,Dallas Mavericks,21900513,2020-01-02,DAL vs. BKN,W,34,31,9,18,0.5,5,8,0.625,8,9,0.889,4,9,13,7,0,1,4,4,3.2,True
2019,1610612742,DAL,Dallas Mavericks,21900503,2019-12-31,DAL @ OKC,L,40,35,12,29,0.414,3,16,0.188,8,12,0.667,2,8,10,7,1,0,2,3,0.2,False
2019,1610612742,DAL,Dallas Mavericks,21900490,2019-12-29,DAL @ LAL,L,30,19,5,14,0.357,0,6,0.0,9,9,1.0,1,3,4,7,2,0,6,3,-2.6,False
2019,1610612742,DAL,Dallas Mavericks,21900482,2019-12-28,DAL @ GSW,W,30,31,8,16,0.5,5,8,0.625,10,10,1.0,2,10,12,15,2,0,3,0,4.0,False
2019,1610612742,DAL,Dallas Mavericks,21900463,2019-12-26,DAL vs. SAS,W,33,24,9,23,0.391,1,6,0.167,5,8,0.625,3,7,10,8,1,0,3,3,0.6,True
2019,1610612742,DAL,Dallas Mavericks,21900384,2019-12-14,DAL vs. MIA,L,2,2,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,0,-0.8,True
